,city,Cloundiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
353,ballina,99,AU,1665350310,99,-28.8667,153.5667,59.77,12.41
354,maningrida,61,AU,1665350310,77,-12.0667,134.2667,77.29,6.91
355,baton rouge,0,US,1665350310,34,30.4508,-91.1545,85.89,5.75
356,nara,96,JP,1665350310,96,34.6851,135.8049,66.7,2.68
357,bilma,1,NE,1665350310,18,18.6853,12.9164,84.0,4.03
358,kenai,100,US,1665350310,84,60.5544,-151.2583,46.45,5.75
359,kulhudhuffushi,94,MV,1665350311,81,6.6221,73.07,80.13,14.36
360,tilichiki,100,RU,1665350311,66,60.4667,166.1,33.01,2.04
361,marabba,1,SD,1665350311,71,12.35,32.1833,77.63,8.14
362,kokopo,67,PG,1665350311,72,-4.352,152.2633,78.17,1.77
363,touros,30,BR,1665350311,85,-5.1989,-35.4608,77.68,13.09
364,manokwari,100,ID,1665350311,76,-0.8667,134.0833,78.96,2.62
